Hugo_Symbol	TPM	Tumor_Sample_Barcode
A1BG	65	TCGA-BL-A0C8
A1BG	454	TCGA-BL-A13I
A1BG	70	TCGA-BL-A13J
A1BG	240	TCGA-BT-A0S7
A1BG	72	TCGA-BT-A0YX
A1BG	1534	TCGA-BT-A20J
A1BG	52	TCGA-BT-A20N
A1BG	279	TCGA-BT-A20O
A1BG	367	TCGA-BT-A20P
A1BG	18	TCGA-BT-A20Q
A1BG	167	TCGA-BT-A20R
A1BG	136	TCGA-BT-A20T
A1BG	105	TCGA-BT-A20U
A1BG	378	TCGA-BT-A20V
A1BG	175	TCGA-BT-A20W
A1BG	283	TCGA-BT-A20X
A1BG	167	TCGA-BT-A2LA
A1BG	194	TCGA-BT-A2LB
A1BG	624	TCGA-C4-A0F0
A1BG	295	TCGA-C4-A0F6
A1BG	111	TCGA-CF-A1HR
A1BG	270	TCGA-CF-A1HS
A1BG	91	TCGA-CF-A27C
A1BG	56	TCGA-CU-A0YN
A1BG	79	TCGA-CU-A0YO
A1BG	110	TCGA-CU-A0YR
A1BG	72	TCGA-DK-A1A3
A1BG	201	TCGA-DK-A1A5
A1BG	95	TCGA-DK-A1A6
A1BG	295	TCGA-DK-A1A7
A1BG	136	TCGA-DK-A1AA
A1BG	200	TCGA-DK-A1AB
A1BG	105	TCGA-DK-A1AC
A1BG	103	TCGA-DK-A1AD
A1BG	114	TCGA-DK-A1AE
A1BG	887	TCGA-DK-A1AF
A1BG	243	TCGA-DK-A1AG
A1BG	146	TCGA-DK-A2HX
A1BG	321	TCGA-DK-A2I1
A1BG	275	TCGA-DK-A2I2
A1BG	432	TCGA-DK-A2I6
A1BG	86	TCGA-E5-A2PC
A1BG	361	TCGA-FD-A3B3
A1BG	239	TCGA-FD-A3B4
A1BG	663	TCGA-FT-A3EE
A1BG	631	TCGA-G2-A2EC
A1BG	1627	TCGA-G2-A2EF
A1BG	33	TCGA-G2-A2EJ
A1BG	292	TCGA-G2-A2EK
A1BG	1554	TCGA-G2-A2EL
A1BG	472	TCGA-G2-A2EO
A1BG	169	TCGA-G2-A2ES
A1BG	333	TCGA-GD-A2C5
A1BG	112	TCGA-H4-A2HO
A1BG	155	TCGA-H4-A2HQ
A1BG	203	TCGA-HQ-A2OE
A1BG	210	IM_NOT_A_REAL_SAMPLE
